Symbol,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,0,0,0,0.746406835,0,0,0,5.173328908,0,49.89351116,81.89444465,83.37990976,733.0761767
2,10.62384264,0,0,1.411597987,2.127539313,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0.711234318,0.714795823,0,0.718625991
8,0,0,0,0,0,0,0,0,4.326841001,21.04523898,1.458982074,2.862876209,0
12,16.43635449,9.152633923,28.49372848,40.57054303,40.17305591,44.91040604,43.49330471,127.0609464,113.01409,127.1480683,218.8098837,257.1136318,252.5798931
16,466.9145147,230.0540045,131.6551662,103.6736517,73.73302797,79.81939221,52.55892845,53.60950794,34.84088859,22.78276459,68.10065226,64.00770438,29.01163734
17,0,0,0,0,0,0,0,0,0,22.42034034,1.378261488,0.718068108,14.05289194
19,0,0,0,0,0,0,0,0,0,0,0,1.480041155,0
21,22.6539424,16.38015747,23.0482783,2.124593887,27.26898421,30.81002737,28.83311599,13.64444419,33.2887622,52.66169734,23.60988341,34.34906414,24.17234826
24,0,0,0,0,0,2.149076018,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,2.131563779,0.687235213,0.676754441,7.040742163,11.94369967,6.978685836
27,0,0,0,0,0.714146031,0,0,0,0,0,0,0,0
30,19.327605,9.995419581,16.99055508,24.11720142,19.83880224,12.64629867,8.581999363,3.492758678,12.10769512,7.827537311,49.5363166,129.2606532,82.6582239
32,13.72550209,8.556989755,2.911427915,0.716300363,2.174883847,0.706265447,4.118538961,1.404219141,0,0,0,0,0
35,0,0,0,0,0,7.813290683,0,0,0,3.580933929,22.17215731,61.12245222,81.97729748
37,0,0,0,0,0,0,0,0,0,0,9.253040566,9.938444612,8.540023254
38,0,0,0,0,0,0,0,0,0,0.721136746,0,0,0
39,102.8563349,185.7818423,302.4980191,345.3851879,366.0708383,302.6633878,310.6999029,316.3715875,282.1735095,289.7933383,292.846815,219.8394969,224.3986132
40,0,0,0,0,0,0,0,0.705344264,14.3601938,11.95866847,2.121964816,12.03950663,5.554517326
48,0,0,0,0,0,0,0,0,0,0,0,2.111794708,0.715305783
50,31.93750028,40.69108571,47.49607529,359.4336943,516.9708032,676.7389086,1178.184923,21.60668242,24.41578075,17.00785764,31.03297914,10.46499578,7.795031644
55,5.717561106,0,0,0,0,0,0,0,0,0,0,0,0
59,0,0,0,0,0.702596326,5.697503787,4.334783886,20.63286681,25.85358021,25.82873024,35.69682972,35.77547263,36.73634755
60,0,0,0,0,0,5.684931249,8.539114623,16.5055304,6.477618296,24.40269112,31.5294132,15.95386349,21.6646007
63,5238.369671,4694.699425,3629.184804,2020.773044,2786.878845,2929.656999,3389.478078,2614.80865,2031.715471,1308.022631,1195.530936,1106.471665,181.5261916
65,0,1.407868717,1.423194724,0,6.346068915,3.56217574,3.542805449,4.382309601,5.834363611,5.796021375,5.141933046,17.40703801,6.485932024
