code,,tasks
13-2011.00,13-2011,"['', 'Audit payroll and personnel records to determine unemployment insurance premiums, workers' compensation coverage, liabilities, and compliance with tax laws.', 'Represent clients before taxing authorities and provide support during litigation involving financial issues.', 'Advise clients in areas such as compensation, employee health care benefits, the design of accounting or data processing systems, or long-range tax or estate plans.', 'Examine inventory to verify journal and ledger entries.', 'Occupation-Specific Information', 'Review taxpayer accounts, and conduct audits on-site, by correspondence, or by summoning taxpayer to office.', 'Examine and evaluate financial and information systems, recommending controls to ensure system reliability and data integrity.', 'Collect and analyze data to detect deficient controls, duplicated effort, extravagance, fraud, or non-compliance with laws, regulations, and management policies.', 'Develop, maintain, or analyze budgets, preparing periodic reports that compare budgeted costs to actual costs.', 'Prepare adjusting journal entries.', 'Supervise auditing of establishments, and determine scope of investigation required.', 'Report to management regarding the finances of establishment.', 'Compute taxes owed and prepare tax returns, ensuring compliance with payment, reporting, or other tax requirements.', 'Develop, implement, modify, and document recordkeeping and accounting systems, making use of current computer technology.', 'Examine records and interview workers to ensure recording of transactions and compliance with laws and regulations.', 'Direct activities of personnel engaged in filing, recording, compiling, and transmitting financial records.', 'Establish tables of accounts and assign entries to proper accounts.', 'Confer with company officials about financial and regulatory matters.', 'Inspect cash on hand, notes receivable and payable, negotiable securities, and canceled checks to confirm records are accurate.', 'Review data about material assets, net worth, liabilities, capital stock, surplus, income, or expenditures.', 'Analyze business operations, trends, costs, revenues, financial commitments, and obligations to project future revenues and expenses or to provide advice.', 'Evaluate taxpayer finances to determine tax liability, using knowledge of interest and discount rates, annuities, valuation of stocks and bonds, and amortization valuation of depletable assets.', 'Prepare, analyze, or verify annual reports, financial statements, and other records, using accepted accounting and statistical procedures to assess financial condition and facilitate financial planning.', 'Report to management about asset utilization and audit results, and recommend changes in operations and financial activities.', 'Inspect account books and accounting systems for efficiency, effectiveness, and use of accepted accounting procedures to record transactions.', 'Tasks', ' 5 ofAll 30 displayed (Show allShow top 5)', 'Conduct pre-implementation audits to determine if systems and programs under development will work as planned.', 'Examine whether the organization's objectives are reflected in its management activities, and whether employees understand the objectives.', 'Process invoices for payment.', 'Prepare, examine, or analyze accounting records, financial statements, or other financial reports to assess accuracy, completeness, and conformance to reporting and procedural standards.', 'Prepare detailed reports on audit findings.', 'Review accounts for discrepancies and reconcile differences.']"
27-2011.00,27-2011,"['', 'Portray and interpret roles, using speech, gestures, and body movements, to entertain, inform, or instruct radio, film, television, or live audiences.', 'Construct puppets and ventriloquist dummies, and sew accessory clothing, using hand tools and machines.', 'Learn about characters in scripts and their relationships to each other to develop role interpretations.', 'Tell jokes, perform comic dances, songs and skits, impersonate mannerisms and voices of others, contort face, and use other devices to amuse audiences.', 'Prepare and perform action stunts for motion picture, television, or stage productions.', 'Read from scripts or books to narrate action or to inform or entertain audiences, utilizing few or no stage props.', 'Occupation-Specific Information', 'Collaborate with other actors as part of an ensemble.', 'Attend auditions and casting calls to audition for roles.', 'Work with other crew members responsible for lighting, costumes, make-up, and props.', 'Dress in comical clown costumes and makeup, and perform comedy routines to entertain audiences.', ' 5 ofAll 19 displayed (Show allShow top 5)', 'Perform humorous and serious interpretations of emotions, actions, and situations, using body movements, facial expressions, and gestures.', 'Work closely with directors, other actors, and playwrights to find the interpretation most suited to the role.', 'Manipulate strings, wires, rods, or fingers to animate puppets or dummies in synchronization with talking, singing, or recorded programs.', 'Tasks', 'Promote productions using means such as interviews about plays or movies.', 'Study and rehearse roles from scripts to interpret, learn and memorize lines, stunts, and cues as directed.', 'Write original or adapted material for dramas, comedies, puppet shows, narration, or other performances.', 'Perform original and stock tricks of illusion to entertain and mystify audiences, occasionally including audience members as participants.', 'Introduce performances and performers to stimulate excitement and coordinate smooth transition of acts during events.', 'Sing or dance during dramatic or comedic performances.']"
15-2011.00,15-2011,"['', 'Explain changes in contract provisions to customers.', 'Determine equitable basis for distributing surplus earnings under participating insurance and annuity contracts in mutual companies.', ' 5 ofAll 15 displayed (Show allShow top 5)', 'Occupation-Specific Information', 'Determine, or help determine, company policy, and explain complex technical matters to company executives, government officials, shareholders, policyholders, or the public.', 'Determine policy contract provisions for each type of insurance.', 'Manage credit and help price corporate security offerings.', 'Negotiate terms and conditions of reinsurance with other companies.', 'Provide advice to clients on a contract basis, working as a consultant.', 'Collaborate with programmers, underwriters, accounts, claims experts, and senior management to help companies develop plans for new lines of business or improvements to existing business.', 'Testify before public agencies on proposed legislation affecting businesses.', 'Tasks', 'Ascertain premium rates required and cash reserves and liabilities necessary to ensure payment of future benefits.', 'Construct probability tables for events such as fires, natural disasters, and unemployment, based on analysis of statistical data and other pertinent information.', 'Provide expertise to help financial institutions manage risks and maximize returns associated with investment products or credit offerings.', 'Analyze statistical information to estimate mortality, accident, sickness, disability, and retirement rates.', 'Testify in court as expert witness or to provide legal evidence on matters such as the value of potential lifetime earnings of a person disabled or killed in an accident.', 'Design, review, and help administer insurance, annuity and pension plans, determining financial soundness and calculating premiums.']"
29-1291.00,29-1291,"['', 'Analyze physical findings and medical histories to make diagnoses according to Oriental medicine traditions.', 'Develop individual treatment plans and strategies.', 'Insert needles to provide acupuncture treatment.', 'Occupation-Specific Information', ' 5 ofAll 18 displayed (Show allShow top 5)', 'Consider Western medical procedures in health assessment, health care team communication, and care referrals.', 'Assess patients' general physical appearance to make diagnoses.', 'Identify correct anatomical and proportional point locations based on patients' anatomy and positions, contraindications, and precautions related to treatments, such as intradermal needles, moxibustion, electricity, guasha, or bleeding.', 'Collect medical histories and general health and lifestyle information from patients.', 'Evaluate treatment outcomes and recommend new or altered treatments as necessary to further promote, restore, or maintain health.', 'Apply heat or cold therapy to patients using materials, such as heat pads, hydrocollator packs, warm compresses, cold compresses, heat lamps, or vapor coolants.', 'Apply moxibustion directly or indirectly to patients using Chinese, non-scarring, stick, or pole moxa.', 'Treat patients using tools, such as needles, cups, ear balls, seeds, pellets, or nutritional supplements.', 'Adhere to local, state, and federal laws, regulations, and statutes.', 'Tasks', 'Educate patients on topics, such as meditation, ergonomics, stretching, exercise, nutrition, the healing process, breathing, or relaxation techniques.', 'Dispense herbal formulas and inform patients of dosages and frequencies, treatment duration, possible side effects, and drug interactions.', 'Maintain and follow standard quality, safety, environmental, and infection control policies and procedures.', 'Formulate herbal preparations to treat conditions considering herbal properties, such as taste, toxicity, effects of preparation, contraindications, and incompatibilities.', 'Maintain detailed and complete records of health care plans and prognoses.', 'Treat medical conditions, using techniques such as acupressure, shiatsu, or tuina.']"
29-1141.01,29-1141,"['', 'Participate in patients' care meetings and conferences.', 'Obtain specimens or samples for laboratory work.', ' 5 ofAll 27 displayed (Show allShow top 5)', 'Assess the impact of illnesses or injuries on patients' health, function, growth, development, nutrition, sleep, rest, quality of life, or family, social and educational relationships.', 'Perform administrative duties that facilitate admission, transfer, or discharge of patients.', 'Assess urgent and emergent health conditions, using both physiologically and technologically derived data.', 'Manage patients' pain relief and sedation by providing pharmacologic and non-pharmacologic interventions, monitoring patients' responses, and changing care plans accordingly.', 'Refer patients for specialty consultations or treatments.', 'Treat wounds or superficial lacerations.', 'Collaborate with patients to plan for future health care needs or to coordinate transitions and referrals.', 'Interpret information obtained from electrocardiograms (EKGs) or radiographs (x-rays).', 'Prescribe medications and observe patients' reactions, modifying prescriptions as needed.', 'Participate in the development of practice protocols.', 'Occupation-Specific Information', 'Collaborate with members of multidisciplinary health care teams to plan, manage, or assess patient treatments.', 'Order, perform, or interpret the results of diagnostic tests and screening procedures based on assessment results, differential diagnoses, and knowledge about age, gender and health status of clients.', 'Administer blood and blood product transfusions or intravenous infusions, monitoring patients for adverse reactions.', 'Perform emergency medical procedures, such as basic cardiac life support (BLS), advanced cardiac life support (ACLS), and other condition-stabilizing interventions.', 'Assess the needs of patients' family members or caregivers.', 'Provide formal and informal education to other staff members.', 'Read current literature, talk with colleagues, and participate in professional organizations or conferences to keep abreast of developments in acute care.', 'Assist patients in organizing their health care system activities.', 'Document data related to patients' care, including assessment results, interventions, medications, patient responses, or treatment changes.', 'Tasks', 'Diagnose acute or chronic conditions that could result in rapid physiological deterioration or life-threatening instability.', 'Discuss illnesses and treatments with patients and family members.', 'Analyze the indications, contraindications, risk complications, and cost-benefit tradeoffs of therapeutic interventions.', 'Set up, operate, or monitor invasive equipment and devices, such as colostomy or tracheotomy equipment, mechanical ventilators, catheters, gastrointestinal tubes, and central lines.', 'Distinguish between normal and abnormal developmental and age-related physiological and behavioral changes in acute, critical, and chronic illness.', 'Adjust settings on patients' assistive devices, such as temporary pacemakers.']"
25-2059.01,25-2059,"['', 'Provide students positive feedback to encourage them and help them develop an appreciation for physical education.', 'Prepare lesson plans in accordance with individualized education plans (IEPs) and the functional abilities or needs of students.', 'Write or modify individualized education plans (IEPs) for students with intellectual or physical disabilities.', 'Establish and maintain standards of behavior to create safe, orderly, and effective environments for learning.', 'Review adapted physical education programs or practices to ensure compliance with government or other regulations.', 'Maintain inventory of instructional equipment, materials, or aids.', 'Adapt instructional techniques to the age and skill levels of students.', 'Instruct students, using adapted physical education techniques, to improve physical fitness, gross motor skills, perceptual motor skills, or sports and game achievement.', 'Assess students' physical progress or needs.', 'Occupation-Specific Information', 'Collaborate with other educational personnel to provide inclusive activities or programs for children with disabilities.', 'Evaluate the motor needs of individual students to determine their need for adapted physical education services.', 'Maintain thorough student records to document attendance, participation, or progress, ensuring confidentiality of all records.', 'Request or order physical education equipment, following standard procedures.', 'Attend in-service training, workshops, or meetings to keep abreast of current practices or trends in adapted physical education.', 'Advise education professionals of students' physical abilities or disabilities and the accommodations required to enhance their school performance.', 'Tasks', ' 5 ofAll 20 displayed (Show allShow top 5)', 'Write reports to summarize student performance, social growth, or physical development.', 'Provide adapted physical education services to students with intellectual disabilities, autism, traumatic brain injury, orthopedic impairments, or other disabling condition.', 'Provide individual or small groups of students with adapted physical education instruction that meets desired physical needs or goals.', 'Assist in screening or placement of students in adapted physical education programs.', 'Communicate behavioral observations and student progress reports to students, parents, teachers, or administrators.']"
51-9191.00,51-9191,"['', 'Mount or load material such as paper, plastic, wood, or rubber in feeding mechanisms of cementing or gluing machines.', 'Transport materials, supplies, and finished products between storage and work areas, using forklifts.', 'Remove and stack completed materials or products, and restock materials to be joined.', 'Occupation-Specific Information', 'Adjust machine components according to specifications such as widths, lengths, and thickness of materials and amounts of glue, cement, or adhesive required.', 'Measure and mix ingredients to prepare glue.', ' 5 ofAll 17 displayed (Show allShow top 5)', 'Depress pedals to lower electrodes that heat and seal edges of material.', 'Maintain production records such as quantities, dimensions, and thicknesses of materials processed.', 'Perform test production runs and make adjustments as necessary to ensure that completed products meet standards and specifications.', 'Monitor machine operations to detect malfunctions and report or resolve problems.', 'Read work orders and communicate with coworkers to determine machine and equipment settings and adjustments and supply and product specifications.', 'Observe gauges, meters, and control panels to obtain information about equipment temperatures and pressures, or the speed of feeders or conveyors.', 'Tasks', 'Fill machines with glue, cement, or adhesives.', 'Align and position materials being joined to ensure accurate application of adhesive or heat sealing.', 'Remove jammed materials from machines and readjust components as necessary to resume normal operations.', 'Start machines, and turn valves or move controls to feed, admit, apply, or transfer materials and adhesives, and to adjust temperature, pressure, and time settings.', 'Examine and measure completed materials or products to verify conformance to specifications, using measuring devices such as tape measures, gauges, or calipers.', 'Clean and maintain gluing and cementing machines, using solutions, lubricants, brushes, and scrapers.']"
23-1021.00,23-1021,"['', 'Research and analyze laws, regulations, policies, and precedent decisions to prepare for hearings and to determine conclusions.', 'Review and evaluate data on documents, such as claim applications, birth or death certificates, or physician or employer records.', 'Occupation-Specific Information', 'Monitor and direct the activities of trials and hearings to ensure that they are conducted fairly and that courts administer justice while safeguarding the legal rights of all involved parties.', 'Explain to claimants how they can appeal rulings that go against them.', 'Recommend the acceptance or rejection of claims or compromise settlements according to laws, regulations, policies, and precedent decisions.', 'Prepare written opinions and decisions.', 'Conduct hearings to review and decide claims regarding issues, such as social program eligibility, environmental protection, or enforcement of health and safety regulations.', 'Confer with individuals or organizations involved in cases to obtain relevant information.', 'Authorize payment of valid claims and determine method of payment.', ' 5 ofAll 14 displayed (Show allShow top 5)', 'Determine existence and amount of liability according to current laws, administrative and judicial precedents, and available evidence.', 'Conduct studies of appeals procedures in field agencies to ensure adherence to legal requirements and to facilitate determination of cases.', 'Tasks', 'Issue subpoenas and administer oaths in preparation for formal hearings.', 'Rule on exceptions, motions, and admissibility of evidence.', 'Schedule hearings.']"
11-3012.00,11-3012,"['', 'Prepare and review operational reports and schedules to ensure accuracy and efficiency.', 'Analyze internal processes and recommend and implement procedural or policy changes to improve operations, such as supply changes or the disposal of records.', 'Direct or coordinate the supportive services department of a business, agency, or organization.', 'Hire and terminate clerical and administrative personnel.', 'Occupation-Specific Information', ' 5 ofAll 18 displayed (Show allShow top 5)', 'Establish work procedures or schedules to organize the daily work of administrative staff.', 'Meet with other departmental leaders to establish organizational goals, strategic plans, and objectives, as well as make decisions about personnel, resources, and space or equipment needs.', 'Conduct classes to teach procedures to staff.', 'Learn to operate new office technologies as they are developed and implemented.', 'Oversee payroll functions, such as maintaining timekeeping information and processing and submitting payroll.', 'Communicate with and provide guidance for external vendors and service providers to ensure the organization, department, or work unit's business needs are met.', 'Tasks', 'Represent work unit at meetings or conferences and serve as liaison for requests or complaints.', 'Plan, administer, and control budgets for contracts, equipment, and supplies.', 'Read through contracts, regulations, and procedural guidelines to ensure comprehension and compliance.', 'Set goals and deadlines for the department.', 'Supervise administrative staff and provide training and orientation to new staff.', 'Manage paper or electronic filing systems by recording information, updating paperwork, or maintaining documents, such as attendance records or correspondence.', 'Develop operational standards and procedures for the work unit or department.', 'Acquire, distribute and store supplies.']"
25-3011.00,25-3011,"['', 'Guide and counsel students with adjustment or academic problems or special academic interests.', 'Collaborate with other teachers and professionals in the development of instructional programs.', 'Adapt teaching methods and instructional materials to meet students' varying needs, abilities, and interests.', 'Attend staff meetings and serve on committees, as required.', 'Confer with other staff members to plan and schedule lessons that promote learning, following approved curricula.', 'Observe and evaluate students' work to determine progress and make suggestions for improvement.', 'Write instructional articles on designated subjects.', 'Review instructional content, methods, and student evaluations to assess strengths and weaknesses, and to develop recommendations for course revision, development, or elimination.', 'Prepare reports on students and activities as required by administration.', 'Occupation-Specific Information', 'Observe students to determine qualifications, limitations, abilities, interests, and other individual characteristics.', 'Confer with leaders of government and community groups to coordinate student training or to find opportunities for students to fulfill curriculum requirements.', 'Plan and conduct activities for a balanced program of instruction, demonstration, and work time that provides students with opportunities to observe, question, and investigate.', 'Participate in publicity planning, community awareness efforts, and student recruitment.', 'Register, orient, and assess new students according to standards and procedures.', 'Enforce administration policies and rules governing students.', 'Instruct students individually and in groups, using various teaching methods, such as lectures, discussions, and demonstrations.', 'Provide information, guidance, and preparation for the General Equivalency Diploma (GED) examination.', 'Train and assist tutors and community literacy volunteers.', 'Conduct classes, workshops, and demonstrations to teach principles, techniques, or methods in subjects, such as basic English language skills, life skills, and workforce entry skills.', 'Plan and supervise class projects, field trips, visits by guest speakers, contests, or other experiential activities, and guide students in learning from those activities.', 'Assign and grade class work and homework.', 'Prepare students for further education by encouraging them to explore learning opportunities and to persevere with challenging tasks.', 'Observe and evaluate the performance of other instructors.', 'Attend professional meetings, conferences, and workshops to maintain and improve professional competence.', 'Provide disabled students with assistive devices, supportive technology, and assistance accessing facilities, such as restrooms.', ' 5 ofAll 39 displayed (Show allShow top 5)', 'Advise students on internships, prospective employers, and job placement services.', 'Prepare and administer written, oral, and performance tests and issue grades in accordance with performance.', 'Select and schedule class times to ensure maximum attendance.', 'Establish and enforce rules for behavior and procedures for maintaining order among the students for whom they are responsible.', 'Prepare materials and classrooms for class activities.', 'Establish clear objectives for all lessons, units, and projects and communicate those objectives to students.', 'Prepare and implement remedial programs for students requiring extra help.', 'Meet with other professionals to discuss individual students' needs and progress.', 'Tasks', 'Prepare for assigned classes and show written evidence of preparation upon request of immediate supervisors.', 'Select, order, and issue books, materials, and supplies for courses or projects.', 'Maintain accurate and complete student records as required by laws or administrative policies.', 'Write grants to obtain program funding.', 'Prepare objectives and outlines for courses of study, following curriculum guidelines or requirements of states and schools.', 'Use computers, audio-visual aids, and other equipment and materials to supplement presentations.']"
